d = 3: 1652 LUTs
    Key(4,7): #6 x 64 = 384 LUTs
    Key(4,2): #1 x 16 = 16 LUTs
    Key(4,6): #2 x 61 = 122 LUTs
    Key(4,8): #6 x 78 = 468 LUTs
    Key(4,5): #4 x 46 = 184 LUTs
    Key(4,1): #22 x 2 = 44 LUTs
    Key(4,4): #2 x 31 = 62 LUTs
    Key(4,10): #4 x 93 = 372 LUTs

d = 5: 12488 LUTs
    Key(4,7): #10 x 80 = 800 LUTs
    Key(5,5): #4 x 58 = 232 LUTs
    Key(5,9): #16 x 99 = 1584 LUTs
    Key(4,2): #1 x 20 = 20 LUTs
    Key(4,6): #6 x 77 = 462 LUTs
    Key(5,7): #4 x 80 = 320 LUTs
    Key(4,5): #4 x 58 = 232 LUTs
    Key(4,8): #14 x 98 = 1372 LUTs
    Key(4,1): #58 x 2 = 116 LUTs
    Key(4,4): #2 x 39 = 78 LUTs
    Key(5,8): #12 x 98 = 1176 LUTs
    Key(5,12): #24 x 136 = 3264 LUTs
    Key(4,10): #24 x 118 = 2832 LUTs

d = 7: 41550 LUTs
    Key(4,7): #14 x 88 = 1232 LUTs
    Key(6,5): #4 x 64 = 256 LUTs
    Key(5,5): #4 x 64 = 256 LUTs
    Key(5,9): #24 x 109 = 2616 LUTs
    Key(4,2): #1 x 22 = 22 LUTs
    Key(6,7): #4 x 88 = 352 LUTs
    Key(6,8): #20 x 108 = 2160 LUTs
    Key(4,6): #10 x 85 = 850 LUTs
    Key(6,12): #60 x 150 = 9000 LUTs
    Key(6,9): #24 x 109 = 2616 LUTs
    Key(5,7): #4 x 88 = 352 LUTs
    Key(4,5): #4 x 64 = 256 LUTs
    Key(4,8): #22 x 108 = 2376 LUTs
    Key(4,1): #110 x 2 = 220 LUTs
    Key(4,4): #2 x 43 = 86 LUTs
    Key(5,12): #60 x 150 = 9000 LUTs
    Key(5,8): #20 x 108 = 2160 LUTs
    Key(4,10): #60 x 129 = 7740 LUTs

d = 9: 101548 LUTs
    Key(4,7): #18 x 96 = 1728 LUTs
    Key(6,5): #8 x 70 = 560 LUTs
    Key(5,5): #4 x 70 = 280 LUTs
    Key(5,9): #32 x 119 = 3808 LUTs
    Key(4,2): #1 x 24 = 24 LUTs
    Key(6,7): #8 x 96 = 768 LUTs
    Key(6,8): #56 x 118 = 6608 LUTs
    Key(4,6): #14 x 93 = 1302 LUTs
    Key(6,12): #224 x 164 = 36736 LUTs
    Key(6,9): #64 x 119 = 7616 LUTs
    Key(5,7): #4 x 96 = 384 LUTs
    Key(4,5): #4 x 70 = 280 LUTs
    Key(4,8): #30 x 118 = 3540 LUTs
    Key(4,1): #178 x 2 = 356 LUTs
    Key(4,4): #2 x 47 = 94 LUTs
    Key(5,12): #112 x 164 = 18368 LUTs
    Key(5,8): #28 x 118 = 3304 LUTs
    Key(4,10): #112 x 141 = 15792 LUTs

d = 11: 208162 LUTs
    Key(4,7): #22 x 104 = 2288 LUTs
    Key(6,5): #10 x 76 = 760 LUTs
    Key(5,5): #4 x 76 = 304 LUTs
    Key(5,9): #40 x 130 = 5200 LUTs
    Key(4,2): #1 x 26 = 26 LUTs
    Key(6,7): #12 x 104 = 1248 LUTs
    Key(6,8): #108 x 128 = 13824 LUTs
    Key(4,6): #18 x 101 = 1818 LUTs
    Key(6,12): #540 x 179 = 96660 LUTs
    Key(6,9): #120 x 129 = 15480 LUTs
    Key(5,7): #4 x 104 = 416 LUTs
    Key(4,5): #4 x 76 = 304 LUTs
    Key(4,8): #38 x 128 = 4864 LUTs
    Key(7,5): #2 x 78 = 156 LUTs
    Key(4,1): #262 x 2 = 524 LUTs
    Key(4,4): #2 x 51 = 102 LUTs
    Key(5,12): #180 x 178 = 32040 LUTs
    Key(5,8): #36 x 128 = 4608 LUTs
    Key(4,10): #180 x 153 = 27540 LUTs

d = 13: 378300 LUTs
    Key(6,5): #10 x 82 = 820 LUTs
    Key(4,7): #26 x 112 = 2912 LUTs
    Key(5,5): #4 x 82 = 328 LUTs
    Key(5,9): #48 x 139 = 6672 LUTs
    Key(7,7): #4 x 113 = 452 LUTs
    Key(4,2): #1 x 28 = 28 LUTs
    Key(7,12): #264 x 194 = 51216 LUTs
    Key(6,7): #12 x 112 = 1344 LUTs
    Key(7,8): #44 x 139 = 6116 LUTs
    Key(6,8): #132 x 138 = 18216 LUTs
    Key(4,6): #22 x 109 = 2398 LUTs
    Key(6,12): #792 x 192 = 152064 LUTs
    Key(6,9): #144 x 139 = 20016 LUTs
    Key(5,7): #4 x 112 = 448 LUTs
    Key(4,5): #4 x 82 = 328 LUTs
    Key(4,8): #46 x 138 = 6348 LUTs
    Key(7,5): #6 x 84 = 504 LUTs
    Key(4,1): #362 x 2 = 724 LUTs
    Key(4,4): #2 x 55 = 110 LUTs
    Key(5,12): #264 x 192 = 50688 LUTs
    Key(5,8): #44 x 138 = 6072 LUTs
    Key(4,10): #264 x 166 = 43824 LUTs
    Key(7,9): #48 x 139 = 6672 LUTs
